Name,Team,BC,NPxG,xG,BCC,xA
Robinson, FUL,0,0.4,0.4,3,1.84
Robertson, LIV,2,1.19,1.19,7,4.08
Roberts, LEE,0,0.17,0.17,1,0.49
Ritchie, NEW,0,0.19,0.19,2,1.25
Riedewald, CRY,1,0.49,0.49,0,0.3
Richarlison, EVE,5,3.43,4.19,3,2.39
Richardson, BUR,0,0.0,0.0,0,0.0
Richards, WOL,0,0.0,0.0,0,0.0
Rice, WHU,0,0.31,0.31,2,1.43
Rhys Williams, LIV,0,0.01,0.01,0,0.04
Reguilón, TOT,0,0.61,0.61,2,1.24
Reed, FUL,0,0.14,0.14,1,0.66
Redmond, SOU,3,1.4,1.4,0,0.27
Ream, FUL,0,0.0,0.0,0,0.03
Rashford, MUN,11,6.96,6.96,1,2.38
Raphinha, LEE,1,2.11,2.11,3,2.55
Randolph, WHU,0,0.0,0.0,0,0.0
Ramsey, AVL,0,0.06,0.06,0,0.1
Ramsdale, SHU,0,0.0,0.0,1,0.44
Ramsay, SOU,0,0.0,0.0,0,0.0
Pérez, LEI,2,1.52,1.52,1,1.24
Pépé, ARS,1,0.75,1.52,0,0.41
Pulisic, CHE,3,2.11,2.11,2,1.71
Pröpper, BHA,0,0.21,0.21,0,0.09
Praet, LEI,0,0.44,0.44,2,1.18
Poveda-Ocampo, LEE,1,0.82,0.82,2,1.02
Pope, BUR,0,0.0,0.0,0,0.03
Pogba, MUN,1,1.17,1.17,1,0.98
Podence, WOL,3,3.22,3.22,2,2.0
Pieters, BUR,0,0.2,0.2,0,0.11
Pickford, EVE,0,0.0,0.0,0,0.03
Phillips, LEE,0,0.48,0.48,1,1.04
Phillips, LIV,0,0.01,0.01,0,0.04
Phillips, WBA,1,0.93,0.93,1,0.93
Perry, WOL,0,0.0,0.0,0,0.0
Pereira, WBA,0,0.91,0.91,3,2.31
Peltier, WBA,0,0.0,0.0,0,0.03
Peacock-Farrell, BUR,0,0.0,0.0,0,0.0
Patrício, WOL,0,0.0,0.0,0,0.0
Partey, ARS,1,0.61,0.61,0,0.11
Palmer, MCI,0,0.0,0.0,0,0.0
Otasowie, WOL,1,0.32,0.32,1,0.48
Otamendi, MCI,0,0.0,0.0,0,0.0
Osborn, SHU,0,0.23,0.23,2,1.09
Oriol Romeu, SOU,0,0.7,0.7,3,1.75
Origi, LIV,0,0.0,0.0,0,0.0
Onomah, FUL,0,0.0,0.0,0,0.0
Olsen, EVE,0,0.0,0.0,0,0.0
Ogbonna, WHU,2,1.16,1.16,1,0.76
Odoi, FUL,0,0.14,0.14,0,0.05
Obafemi, SOU,0,0.0,0.0,0,0.0
O'Shea, WBA,0,0.07,0.07,0,0.19
O'Connell, SHU,0,0.0,0.0,0,0.0
Norwood, SHU,0,0.01,0.01,0,0.34
Norris, BUR,0,0.0,0.0,0,0.0
Noble, WHU,0,0.0,0.0,0,0.06
Nmecha, MCI,0,0.0,0.0,0,0.0
Nkounkou, EVE,0,0.0,0.0,0,0.0
Nketiah, ARS,1,1.01,1.01,1,0.79
Neves, WOL,1,1.05,1.81,2,1.69
Neto, WOL,3,3.22,3.22,4,3.35
Nelson, ARS,0,0.02,0.02,0,0.02
Neco Williams, LIV,0,0.04,0.04,0,0.07
Ndombele, TOT,2,1.48,1.48,2,1.37
Ndidi, LEI,0,0.02,0.02,0,0.08
Nakamba, AVL,0,0.14,0.14,0,0.05
N'Lundulu, SOU,0,0.01,0.01,0,0.01
Mustafi, ARS,0,0.0,0.0,0,0.0
Murphy, NEW,0,0.66,0.66,1,0.75
Mumbongo, BUR,0,0.0,0.0,0,0.0
Moutinho, WOL,0,0.2,0.2,0,0.68
Mousset, SHU,1,0.54,0.54,1,0.48
Mount, CHE,1,2.13,2.13,6,4.24
Morgan, LEI,0,0.0,0.0,0,0.03
Molumby, BHA,0,0.0,0.0,0,0.0
Mitrović, FUL,6,2.83,4.37,3,2.38
Mitchell, CRY,0,0.16,0.16,0,0.04
Mings, AVL,3,1.75,1.75,0,0.47
Minamino, LIV,2,1.13,1.13,0,0.19
Mina, EVE,1,1.05,1.05,0,0.32
Milner, LIV,0,0.21,0.21,1,0.66
Milivojevic, CRY,0,0.42,0.42,1,0.74
Meyer, CRY,0,0.0,0.0,0,0.0
Meslier, LEE,0,0.0,0.0,0,0.03
Mendy, CHE,0,0.0,0.0,0,0.0
Mendy, MCI,0,0.19,0.19,0,0.1
Mendy, LEI,0,0.02,0.02,0,0.09
Mee, BUR,0,0.57,0.57,0,0.24
McTominay, MUN,1,0.7,0.7,2,1.29
McNeil, BUR,0,0.08,0.08,2,1.3
McGoldrick, SHU,4,3.01,3.01,1,1.25
McGinn, AVL,1,0.98,0.98,3,2.09
McCarthy, CRY,0,0.02,0.02,0,0.05
McCarthy, SOU,0,0.0,0.0,0,0.0
McBurnie, SHU,7,3.84,3.84,0,0.8
McArthur, CRY,0,0.06,0.06,2,1.25
Mbete, MCI,0,0.0,0.0,0,0.0
Maupay, BHA,12,4.89,7.79,2,2.28
Matty Longstaff, NEW,0,0.0,0.0,0,0.06
Matip, LIV,1,0.71,0.71,3,1.41
Matic, MUN,0,0.29,0.29,1,0.59
Mata, MUN,0,0.5,0.5,1,0.8
Masuaku, WHU,1,0.64,0.64,3,1.55
Marí, ARS,0,0.01,0.01,0,0.04
Marçal, WOL,0,0.02,0.02,0,0.09
Martínez, AVL,0,0.0,0.0,0,0.0
Martinelli, ARS,0,0.39,0.39,0,0.15
Martin, WHU,0,0.0,0.0,0,0.0
Martial, MUN,7,4.24,4.24,4,2.65
Marques, WOL,0,0.0,0.0,0,0.0
March, BHA,2,1.56,1.56,2,2.0
Mané, LIV,12,7.64,7.64,4,3.99
Manquillo, NEW,0,0.02,0.02,0,0.12
Mancini, BUR,0,0.0,0.0,0,0.0
Maitland-Niles, ARS,0,0.04,0.04,0,0.1
Mahrez, MCI,4,3.32,3.32,5,3.51
Maguire, MUN,0,1.25,1.25,0,0.6
Maddison, LEI,0,1.39,1.39,1,1.86
Macey, ARS,0,0.0,0.0,0,0.0
Mac Allister, BHA,0,0.18,0.18,0,0.1
Lössl, EVE,0,0.0,0.0,0,0.0
Lundstram, SHU,2,1.02,1.76,1,1.1
Lucas Moura, TOT,1,0.91,0.91,0,0.33
Lowton, BUR,0,0.16,0.16,1,0.51
Lowe, SHU,0,0.14,0.14,0,0.02
Lookman, FUL,5,3.5,4.27,3,2.64
Long, SOU,0,0.15,0.15,0,0.03
Long, BUR,0,0.03,0.03,0,0.07
Loftus-Cheek, FUL,2,1.19,1.19,1,0.75
Lo Celso, TOT,2,1.35,1.35,2,1.22
Lloris, TOT,0,0.0,0.0,0,0.0
Llorente, LEE,0,0.0,0.0,0,0.0
Livermore, WBA,0,0.05,0.05,0,0.19
Lingard, MUN,0,0.0,0.0,0,0.0
Lindelöf, MUN,1,0.49,0.49,0,0.21
Lewis, NEW,0,0.15,0.15,0,0.33
Lewis, SOU,0,0.0,0.0,0,0.0
Leno, ARS,0,0.0,0.0,0,0.0
Lemina, FUL,0,0.05,0.05,1,0.54
Le Marchand, FUL,0,0.0,0.0,0,0.0
Lascelles, NEW,0,0.06,0.06,0,0.06
Laporte, MCI,0,0.02,0.02,1,0.46
Lanzini, WHU,0,0.34,0.34,1,0.6
Langley, NEW,0,0.0,0.0,0,0.0
Lamptey, BHA,1,0.85,0.85,2,1.41
Lamela, TOT,0,0.58,0.58,1,0.69
Lallana, BHA,0,0.24,0.24,3,1.84
Lacazette, ARS,12,5.81,6.58,0,1.4
Krovinovic, WBA,0,0.29,0.29,0,0.21
Krafth, NEW,0,0.01,0.01,0,0.08
Kovacic, CHE,0,0.24,0.24,1,0.67
Kouyaté, CRY,2,1.0,1.0,1,0.7
Konsa, AVL,2,1.3,1.3,0,0.25
Kolasinac, ARS,0,0.01,0.01,0,0.01
Koch, LEE,0,0.31,0.31,0,0.33
Knockaert, FUL,0,0.0,0.0,0,0.0
Klich, LEE,2,0.79,2.31,3,2.74
Kipre, WBA,0,0.0,0.0,0,0.0
Kilman, WOL,0,0.22,0.22,1,0.57
Kenny, EVE,0,0.02,0.02,0,0.02
Kelly, CRY,0,0.0,0.0,0,0.0
Kelleher, LIV,0,0.0,0.0,0,0.0
Keita, LIV,0,0.35,0.35,1,0.72
Kebano, FUL,0,0.1,0.1,0,0.14
Keane, EVE,1,0.95,0.95,1,0.79
Kean, EVE,0,0.02,0.02,0,0.03
Kanté, CHE,0,0.17,0.17,2,1.27
Kane, TOT,12,6.33,8.64,10,6.09
Kamara, FUL,1,0.47,0.47,0,0.17
Justin, LEI,1,0.57,0.57,3,1.93
Jota, LIV,5,3.35,3.35,2,1.54
Jorginho, CHE,5,0.0,3.73,0,0.38
Jones, LIV,0,1.05,1.05,1,0.94
Johnstone, WBA,0,0.0,0.0,0,0.0
Johnson, WHU,1,0.44,0.44,0,0.04
Johansen, FUL,0,0.0,0.0,0,0.0
Joelinton, NEW,1,1.75,1.75,2,1.52
Jiménez, WOL,4,2.96,2.96,0,0.77
Jesus, MCI,3,1.77,1.77,2,1.45
Jenkins, LEE,0,0.0,0.0,0,0.0
James, MUN,1,1.09,1.09,0,0.47
James, CHE,0,0.89,0.89,3,1.96
Jahanbakhsh, BHA,1,0.77,0.77,4,1.96
Jagielka, SHU,0,0.0,0.0,0,0.0
Jack Robinson, SHU,1,0.31,0.31,0,0.03
Iwobi, EVE,0,0.35,0.35,3,1.7
Ivanovic, WBA,0,0.25,0.25,0,0.17
Inniss, CRY,0,0.0,0.0,0,0.0
Ings, SOU,7,3.78,5.32,1,1.67
Iheanacho, LEI,3,0.96,1.73,1,0.83
Ighalo, MUN,0,0.0,0.0,0,0.0
Højbjerg, TOT,0,0.36,0.36,2,1.11
Huggins, LEE,0,0.0,0.0,0,0.0
Hudson-Odoi, CHE,1,0.86,0.86,2,1.34
Hourihane, AVL,1,0.59,0.59,2,0.96
Holgate, EVE,2,0.91,0.91,0,0.23
Holding, ARS,0,0.39,0.39,0,0.19
Hoever, WOL,0,0.01,0.01,0,0.09
Hernández, LEE,1,0.55,0.55,1,0.7
Hennessey, CRY,0,0.0,0.0,0,0.0
Hendrick, NEW,1,0.7,0.7,1,0.58
Henderson, CRY,0,0.0,0.0,0,0.0
Henderson, LIV,2,1.11,1.11,2,1.21
Henderson, MUN,0,0.0,0.0,0,0.0
Hegazi, WBA,0,0.0,0.0,0,0.0
Hector, FUL,0,0.04,0.04,0,0.07
Heaton, AVL,0,0.0,0.0,0,0.0
Hayden, NEW,0,0.22,0.22,0,0.25
Havertz, CHE,2,1.33,1.33,1,1.01
Hause, AVL,2,0.8,0.8,0,0.1
Harwood-Bellis, MCI,0,0.0,0.0,0,0.0
Hart, TOT,0,0.0,0.0,0,0.0
Harrison, LEE,5,2.73,2.73,6,4.01
Harper, WBA,0,0.14,0.14,0,0.02
Haller, WHU,3,2.95,2.95,1,1.51
Hackford, SHU,0,0.0,0.0,0,0.0
Gündogan, MCI,4,2.08,2.08,0,0.8
Guilbert, AVL,0,0.0,0.0,0,0.0
Gudmundsson, BUR,1,0.57,0.57,0,0.11
Guaita, CRY,0,0.0,0.0,0,0.0
Groß, BHA,2,0.29,1.8,2,1.78
Grosicki, WBA,0,0.0,0.0,0,0.0
Greenwood, MUN,3,1.84,1.84,1,0.95
Grealish, AVL,6,4.94,4.94,12,7.92
Gray, LEI,0,0.01,0.01,0,0.01
Grant, MUN,0,0.0,0.0,0,0.0
Grant, WBA,3,2.2,2.2,0,0.47
Gordon, EVE,0,0.0,0.0,0,0.04
Goodridge, BUR,0,0.0,0.0,0,0.0
Gomez, LIV,0,0.0,0.0,0,0.03
Godfrey, EVE,0,0.16,0.16,0,0.07
Giroud, CHE,5,2.39,2.39,1,0.88
Gilmour, CHE,0,0.0,0.0,0,0.0
Gillespie, NEW,0,0.0,0.0,0,0.0
Gibbs, WBA,0,0.0,0.0,0,0.04
Gayle, NEW,0,0.37,0.37,0,0.16
Garcia, MCI,0,0.0,0.0,0,0.03
Gallagher, WBA,0,0.8,0.8,0,0.46
Gabriel, ARS,2,1.22,1.22,0,0.28
Furlong, WBA,0,0.65,0.65,2,1.38
Fuchs, LEI,0,0.04,0.04,0,0.08
Fredericks, WHU,0,0.25,0.25,1,0.85
Fred, MUN,1,0.51,0.51,3,1.54
Fraser, NEW,0,0.18,0.18,0,0.16
Fosu-Mensah, MUN,0,0.03,0.03,1,0.48
Forster, SOU,0,0.0,0.0,0,0.0
Fornals, WHU,6,3.14,3.14,1,1.3
Fofana, LEI,1,0.38,0.38,0,0.17
Foderingham, SHU,0,0.0,0.0,0,0.0
Foden, MCI,5,2.65,2.65,2,1.6
Fleck, SHU,0,0.23,0.23,0,0.48
Firmino, LIV,10,6.31,6.31,4,3.47
Field, WBA,0,0.0,0.0,0,0.0
Fernández, NEW,0,0.0,0.0,0,0.1
Fernandinho, MCI,1,0.47,0.47,0,0.07
Fernandes, TOT,0,0.0,0.0,0,0.0
Fernandes, MUN,12,4.54,9.11,10,6.71
Felipe Anderson, WHU,0,0.0,0.0,0,0.0
Fabio Silva, WOL,2,1.07,1.83,0,0.66
Fabinho, LIV,0,0.01,0.01,0,0.1
Fabianski, WHU,0,0.0,0.0,0,0.0
Eze, CRY,1,1.52,1.52,2,1.72
Evans, LEI,0,0.02,0.02,0,0.16
Engels, AVL,0,0.0,0.0,0,0.0
Emerson, CHE,0,0.0,0.0,0,0.0
Elneny, ARS,0,0.05,0.05,0,0.16
El Mohamady, AVL,0,0.03,0.03,0,0.21
El Ghazi, AVL,6,3.59,5.11,1,1.58
Egan, SHU,0,0.05,0.05,0,0.09
Edwards, WBA,0,0.2,0.2,0,0.12
Ederson, MCI,0,0.0,0.0,0,0.0
Dunne, BUR,0,0.21,0.21,0,0.15
Dunk, BHA,4,2.11,2.11,0,0.48
Dummett, NEW,0,0.0,0.0,0,0.0
Dubravka, NEW,0,0.0,0.0,0,0.0
Driscoll-Glennon, BUR,0,0.0,0.0,0,0.0
Doyle, MCI,0,0.0,0.0,0,0.0
Douglas Luiz, AVL,0,0.63,0.63,1,0.9
Doucouré, EVE,2,1.49,1.49,1,1.21
Doherty, TOT,1,0.52,0.52,1,0.69
Djenepo, SOU,0,0.5,0.5,0,0.44
Diop, WHU,0,0.0,0.0,0,0.0
Digne, EVE,0,0.08,0.08,5,2.49
Dier, TOT,2,0.94,0.94,0,0.16
Dias, MCI,2,1.02,1.02,0,0.23
Diangana, WBA,1,1.08,1.08,0,0.47
Diallo, SOU,0,0.01,0.01,0,0.04
Diaby, WBA,0,0.0,0.0,0,0.0
Dendoncker, WOL,5,2.57,2.57,0,0.76
Delph, EVE,0,0.0,0.0,0,0.04
Delap, MCI,0,0.01,0.01,0,0.01
Decordova-Reid, FUL,6,3.05,3.05,0,0.57
De Bruyne, MCI,9,4.11,6.27,14,7.89
Dawson, WHU,0,0.01,0.01,0,0.01
Davis, AVL,0,0.1,0.1,0,0.15
Davis, LEE,0,0.0,0.0,0,0.0
Davies, TOT,0,0.11,0.11,1,0.7
Davies, EVE,0,0.0,0.0,1,0.44
David Luiz, ARS,0,0.08,0.08,0,0.12
Darlow, NEW,0,0.0,0.0,0,0.0
Dann, CRY,2,0.87,0.87,0,0.23
Dallas, LEE,3,2.47,2.47,2,1.6
Cédric, ARS,0,0.0,0.0,0,0.0
Cundle, WOL,0,0.0,0.0,0,0.0
Cresswell, LEE,0,0.0,0.0,0,0.0
Cresswell, WHU,0,0.47,0.47,3,2.1
Coufal, WHU,0,0.27,0.27,2,1.55
Costa, LEE,1,1.2,1.2,0,0.68
Corbeanu, WOL,0,0.0,0.0,0,0.0
Cooper, LEE,0,0.36,0.36,0,0.12
Connolly, BHA,5,2.58,2.58,0,0.61
Coleman, EVE,0,0.48,0.48,1,0.63
Coady, WOL,0,0.03,0.03,0,0.1
Clyne, CRY,0,0.18,0.18,0,0.12
Clarkson, LIV,0,0.0,0.0,0,0.0
Clark, NEW,1,0.63,0.63,0,0.14
Christie, FUL,0,0.0,0.0,0,0.0
Christensen, CHE,0,0.04,0.04,0,0.04
Choudhury, LEI,0,0.0,0.0,0,0.0
Chilwell, CHE,1,1.45,1.45,1,1.38
Chauke, SOU,0,0.0,0.0,0,0.0
Chamberlain, LIV,0,0.02,0.02,1,0.46
Ceballos, ARS,0,0.09,0.09,3,1.77
Cavani, MUN,6,2.69,2.69,2,1.2
Cavaleiro, FUL,6,2.41,3.95,1,1.4
Castagne, LEI,1,0.73,0.73,1,0.81
Casilla, LEE,0,0.0,0.0,0,0.0
Cash, AVL,0,0.24,0.24,1,0.93
Casey, LEE,0,0.0,0.0,0,0.0
Carson, MCI,0,0.0,0.0,0,0.0
Carroll, NEW,0,0.36,0.36,0,0.28
Carlos Vinicius, TOT,0,0.17,0.17,0,0.08
Caprile, LEE,0,0.0,0.0,0,0.0
Cancelo, MCI,0,0.46,0.46,4,2.53
Calvert-Lewin, EVE,17,9.42,9.42,0,1.97
Callum Robinson, WBA,0,0.77,0.77,0,0.63
Cairney, FUL,0,0.83,0.83,1,1.15
Cain, LIV,0,0.0,0.0,0,0.0
Cahill, CRY,0,0.05,0.05,0,0.16
Caballero, CHE,0,0.0,0.0,0,0.0
Buur, WOL,0,0.0,0.0,0,0.0
Button, WBA,0,0.0,0.0,0,0.0
Butland, CRY,0,0.0,0.0,0,0.0
Burn, BHA,0,0.09,0.09,0,0.15
Burke, SHU,2,1.2,1.2,3,1.7
Bryan, SHU,0,0.01,0.01,0,0.04
Bryan, FUL,0,0.18,0.18,0,0.12
Brownhill, BUR,0,0.41,0.41,0,0.59
Brewster, SHU,2,1.27,1.27,2,1.17
Branthwaite, EVE,0,0.0,0.0,0,0.0
Brady, BUR,0,0.65,0.65,2,1.11
Bowen, WHU,4,2.78,2.78,4,2.95
Boly, WOL,1,0.36,0.36,0,0.1
Bogusz, LEE,0,0.0,0.0,0,0.0
Bogle, SHU,0,0.32,0.32,0,0.12
Bissouma, BHA,0,0.48,0.48,0,0.42
Bertrand, SOU,0,0.22,0.22,0,0.38
Bernardo Silva, MCI,1,0.93,0.93,2,1.23
Bernardo, BHA,0,0.14,0.14,0,0.22
Bernard, EVE,0,0.38,0.38,0,0.34
Bernabé, MCI,0,0.0,0.0,0,0.0
Bergwijn, TOT,4,1.55,1.55,0,0.38
Berge, SHU,1,0.32,1.09,3,1.8
Benteke, CRY,3,2.69,2.69,0,0.82
Benson, BUR,0,0.03,0.03,0,0.03
Benrahma, WHU,1,1.22,1.22,1,0.88
Bellerín, ARS,0,0.47,0.47,5,2.57
Bednarek, SOU,0,0.69,0.69,1,0.67
Batshuayi, CRY,2,1.21,1.21,1,0.87
Basham, SHU,0,0.18,0.18,1,0.76
Bartley, WBA,3,1.41,1.41,0,0.19
Barnes, BUR,2,2.17,2.17,0,0.98
Barnes, LEI,5,4.41,4.41,0,1.34
Barkley, AVL,1,1.46,1.46,2,1.73
Bardsley, BUR,0,0.01,0.01,0,0.01
Bamford, LEE,18,9.89,10.65,1,2.51
Bale, TOT,2,0.95,0.95,1,0.64
Baldock, SHU,2,1.33,1.33,4,2.27
Balbuena, WHU,3,1.24,1.24,0,0.17
Bailly, MUN,0,0.04,0.04,0,0.04
Azpilicueta, CHE,0,0.35,0.35,0,0.28
Ayling, LEE,1,0.99,0.99,3,1.92
Ayew, CRY,2,1.65,1.65,0,0.42
Austin, WBA,1,0.34,0.34,0,0.06
Aurier, TOT,1,0.81,0.81,3,1.38
Aubameyang, ARS,5,3.6,4.36,2,2.13
Arrizabalaga, CHE,0,0.0,0.0,0,0.0
Armstrong, SOU,0,0.61,0.61,0,0.65
Areola, FUL,0,0.0,0.0,0,0.0
Antonio, WHU,4,3.09,3.09,0,0.98
Anjorin, CHE,0,0.0,0.0,0,0.0
Anguissa, FUL,0,0.45,0.45,3,1.81
André Gomes, EVE,0,0.06,0.06,0,0.23
Anderson, NEW,0,0.0,0.0,0,0.0
Andersen, FUL,0,0.01,0.01,0,0.05
Ampadu, SHU,0,0.02,0.02,1,0.56
Amartey, LEI,0,0.01,0.01,0,0.01
Alzate, BHA,0,0.18,0.18,1,0.7
Alonso, CHE,0,0.03,0.03,0,0.11
Almirón, NEW,1,1.19,1.19,1,1.03
Alli, TOT,1,0.46,0.46,0,0.09
Allan, EVE,0,0.18,0.18,0,0.3
Alisson, LIV,0,0.0,0.0,0,0.0
Alioski, LEE,2,1.47,1.47,3,1.84
Alexander-Arnold, LIV,0,0.66,0.66,3,2.27
Alderweireld, TOT,0,0.4,0.4,1,0.69
Albrighton, LEI,0,0.46,0.46,1,0.92
Aké, MCI,1,0.44,0.44,0,0.08
Ajayi, WBA,1,0.52,0.52,0,0.15
Ait Nouri, WOL,0,0.58,0.58,0,0.35
Aina, FUL,1,0.5,0.5,0,0.33
Agüero, MCI,1,0.54,0.54,2,1.0
Adrián, LIV,0,0.0,0.0,0,0.0
Adarabioyo, FUL,1,0.42,0.42,0,0.22
Adams, SOU,9,5.22,5.22,7,4.23
Abraham, CHE,7,4.2,4.2,1,1.58
